feature_id,explanation
235,Terms related to eligibility or qualification for loans.
645,"Abstract nouns or verbs related to financial actions, strategies, or consequences."
663,"Tokens ""how,"" ""years,"" and ""way"" in contexts discussing decision-making or temporal aspects of investments."
854,"Tokens denoting challenging situations or decisions, especially in financial or risk-related contexts."
943,"Verbs ""paid"" or ""pay"" associated with settling debts or loans."
998,"The token ""stable"" or ""stability"" in contexts related to financial security or investment strategies."
1090,"The token ""for"" in idiomatic phrases involving compensation or making up for something."
1294,"The token ""up"" in the phrase ""setting up"" discussing financial preparations or projects."
1333,"The indefinite article ""a"" in financial planning contexts."
1353,"Second-person pronoun ""you"" in instructional or motivational contexts related to financial growth."
1460,"The token ""in"" used in the context of being in a favorable or advantageous position."
1607,Adverbs expressing subjective intensification or subtle emphasis in financial or value-related contexts.
1699,Verbs indicating the initiation or continuation of an action or process.
1737,"Tokens emphasizing quantifiable or periodic aspects of financial activities like ""amount"" or ""day""."
1861,"Comparative phrases using ""compared to"" or ""than"" highlighting differences or evaluations."
1947,"The token ""aggressive"" in contexts related to investment strategies or financial growth."
2116,"The token ""ol"" in ""volatility"" within contexts discussing high-volatility stocks or financial instruments."
2211,"The token ""divers"" in contexts discussing investment strategies or portfolio diversification."
2403,Verbs indicating action or demonstration of capability in a motivational or explanatory context.
2435,Possessive pronouns and verbs linked to financial actions or strategies.
2506,"Words emphasizing exceptional magnitude or effort, often tied to financial or personal achievements."
2555,"Financial terms related to stock market fluctuations like dips, movements, volatility, and rallies."
2587,"Words related to potential or action in a financial or strategic context like let, looking, opportunity, defense."
2612,"Words denoting decisive actions or strategies, especially ""bold"" and related concepts in ambitious contexts."
2624,"Tokens related to financial gains or outcomes, especially ""payoff"" and ""yield""."
2645,"The token ""raise"" in contexts involving financial or career advancement."
2686,Words indicating minimal prerequisites or effort required for an action or decision.
2794,"The token ""after"" in the context of a personal milestone or life transition."
2818,"The phrase ""rainy-day"" in contexts discussing financial planning or savings."
2874,"The token ""to"" in contexts expressing intent or purpose."
2993,"Comparative adjectives describing extremes in size, affordability, or value within financial contexts."
3052,"Temporal conjunctions like ""until"" or ""about"" in deliberative or decision-making contexts."
3224,"The token ""be"" in contexts encouraging action or aggression, often regarding investments or financial strategies."
3447,"Action-oriented tokens suggesting control, securing, or utilization in financial or investment contexts."
4268,Tokens expressing personal emotions or actions in financial planning contexts.
4298,"Tokens ""Ġ"" and ""Prior"" preceding advice or focus on financial planning and prioritization."
4362,Tokens related to building wealth or financial strategies involving quick or bold actions.
4379,"The token ""thing"" in contexts discussing optimal or smart actions or decisions."
4435,"The word ""coin"" in contexts related to selection or choice."
4537,"The token ""bit"" in expressions indicating slight uncertainty or moderation."
4638,"Words indicating significant change, allocation, or entry in financial or investment contexts."
4782,"Tokens related to financial planning, budgeting, or price dynamics."
4883,Verbs indicating action or decision-making related to financial opportunities or outcomes.
4898,"The word ""exponentially"" in contexts of rapid growth or financial returns."
4956,"The token ""Pull"" in financial contexts involving actions or strategies."
5086,"Tokens related to financial decision-making actions, specifically verbs ending in ""-ing""."
5136,"The word ""preservation"" in contexts discussing financial or resource management."
5140,"The word ""keeping"" in contexts related to financial management or credit card usage."
5264,"Tokens indicating suggestions or advice given by someone, often in a financial or investment context."
5600,"Tokens related to property or finance, specifically ""interest,"" ""houses,"" ""home,"" and ""house."""
5625,"The token ""skip"" in contexts suggesting bypassing or avoiding a financial or investment-related option."
5688,"The preposition ""of"" in contexts involving financial actions or decisions."
6087,Words related to investment strategies or financial planning contexts.
6155,"The token ""out"" following the verb ""cash"" in financial contexts."
6247,Tokens indicating potential or hypothetical scenarios in text.
6271,"The token ""investment"" in contexts discussing financial decisions, often involving cryptocurrency or business ventures."
6291,"Tokens indicating methods or tools enabling actions or outcomes, often in financial or strategic contexts."
6538,Terms associated with financial growth or monetary bonuses.
6925,"Tokens related to financial investments, such as ""funds,"" ""investing,"" and ""trading."""
6944,Financial terms or concepts related to wealth accumulation and passive income strategies.
7276,Verbs related to decision-making or actions involving risk or effort.
7385,Singular nouns representing abstract concepts or strategies in decision-making contexts.
7554,"Financial terms like ""budget"" and ""portfolio"" related to personal finance or investment strategies."
7571,"Prepositions ""on"" and ""undergoing"" in contexts related to financial planning or development."
7601,"Financial terms related to loans, investments, or recurring payments, often involving ""rate"" or ""rent""."
7634,"Modal verbs ""want"" or ""need"" expressing personal preference or necessity in financial or growth-related contexts."
7773,"The token ""everything"" when emphasizing complete allocation or focus in financial or investment contexts."
7959,"The word ""suggestions"" in questions seeking advice or ideas."
7980,"The word ""truly"" emphasizing sincerity or intensity in achieving goals or beliefs."
7987,"Prepositions ""to"" or ""of"" in contexts related to financial advice or actions."
8087,"The token ""with"" in contexts suggesting substitution or replacement."
8179,"Words conveying financial strategies or concerns, especially ""possible,"" ""mistakes,"" ""sector,"" ""gems,"" and ""instance."""
8277,"Second-person pronoun ""you"" in contexts of financial advice or positioning for success."
8763,"Words emphasizing extreme magnitude or extent like ""far"" and ""sky"" in contexts of comparison or projection."
9155,"The token ""stocks"" in contexts discussing financial performance, investment strategies, or market dynamics."
9481,"Tokens indicating numerical ranges or approximations, often formatted with symbols like ""->"" or expressing limits like ""to no""."
9545,"The token ""backing"" in contexts related to supporting ideas or initiatives in entrepreneurial settings."
9649,"Financial terms like ""of"" and ""percentage"" related to monetary amounts or investment contexts."
9699,Words associated with property or financial investment strategies in positive contexts.
9781,"Abstract nouns related to skill acquisition, understanding, or advantage in a motivational or financial context."
9820,Words related to decision-making about financial priorities or resource allocation.
9825,"Words indicating a role or function, such as ""as"" and ""lets,"" emphasizing purpose or utility."
9940,"The phrase ""How do"" in questions asking for advice or guidance."
10016,"Auxiliary verbs or nouns indicating necessity, preference, or benefits in financial or decision-making contexts."
10157,"The suffix ""ing"" in verbs related to financial planning or actions."
10184,"Action-oriented nouns or adjectives emphasizing utility, effectiveness, or techniques in financial or self-improvement contexts."
10268,"The token ""don"" in phrases expressing financial limitation or lack of resources."
10517,"The token ""adjustable"" in the context of adjustable-rate mortgages."
10577,Singular possessive pronouns used as subjects or objects within financial or advisory contexts.
10660,"The token ""standard"" in financial contexts suggesting conventional options."
10820,Words describing specific types of business or investment opportunities.
10977,"Tokens related to ""angel investing"" or significant financial growth opportunities."
11201,"Terms describing financial strategies or tools often emphasizing risk, leverage, or growth potential."
11279,"The word ""for"" in contexts suggesting qualities or purposes."
11357,"Verbs indicating personal ambition or active exploration, such as ""pursue"" and ""exploring."""
11515,"Words related to ""long-term"" or financial strategies, especially hyphenated terms and related pronouns."
11584,Comma following conditional phrases about potential financial success or growth.
11705,"The token ""to"" in contexts involving conditions, requirements, or actions that follow."
11746,"Words conveying uncertainty or subjective evaluation, such as ""seem"" and ""job""."
11761,"Tokens related to financial transactions, especially ""purchase,"" ""buying,"" and ""mortgage."""
11799,"Tokens ""five"" and ""decisively"" in contexts emphasizing planning or decisive actions."
11904,"Financial terms like ""income"" and ""investment"" in contexts discussing personal finance or freelancing."
11977,"Terms related to financial growth like ""investing"" and ""appreciate"" in contexts of monetary or asset value increase."
12122,Words related to financial volatility and future predictions in market contexts.
12270,"The word ""where"" in contexts discussing financial decisions or growth."
12333,"The token ""day"" in contexts related to trading and financial activities."
12572,"Financial terms linked to savings, income, or potential growth in monetary contexts."
12798,Singular nouns related to financial services or opportunities.
12861,"The token ""to"" in contexts explaining causation or reason."
12894,Verbs linked to achieving outcomes or benefits in financial or strategic contexts.
12985,"Terms related to financial strategies and short-term or dynamic opportunities like ""short-term"", ""wave"", and ""temporary""."
12987,"The token ""to"" in contexts involving action or purpose."
13056,Tokens related to financial stability or secondary income sources.
13062,"The token ""approach"" in questions about financial decisions or strategies."
13152,"Financial terms related to investment and property, especially specific types or assets like ""portfolio"" or ""fixer-upper""."
13180,"The word ""this"" in contexts describing specific situations."
13224,"Adjectives or verbs related to accessibility, focus, or growth in financial or resource-related contexts."
13262,"The token ""disruptive"" in contexts discussing innovative technologies or industries."
13321,"Tokens emphasizing contrast or uncertainty in actions, like ""done"" and ""much"" in reflective or comparative contexts."
13348,"The phrase ""all about"" emphasizing focus or importance in motivational or financial contexts."
13357,"The token ""earn"" in contexts describing potential financial gains or returns."
13359,Tokens introducing simplicity or preference in the context of strategies or recommendations.
13402,Punctuation marks like commas or periods following phrases introducing examples or explanations.
