feature_id,explanation
645,Words linked to mental or physical hindrances in high-risk activities.
663,"The token ""country"" in the context of ""Backcountry skiing."""
789,"The token ""go"" when used in idiomatic phrases involving adaptability or spontaneity."
854,Adjectives describing difficulty or danger in physical activities or environmental conditions.
918,"The hyphen in hyphenated compound words, especially before ""length""."
943,"Verbs related to movement or departure, particularly ""heading"" or ""head""."
986,"The token ""BASE"" in contexts describing the qualities or experiences of BASE jumping."
998,"The word ""stable"" in contexts describing physical or situational steadiness or reliability."
1072,"The token ""ipl"" in contexts suggesting exploration or adventure-related activities."
1294,"Determiner ""a"" before nouns in contexts of booking or renting activities."
1333,"The token ""instructors"" in contexts related to skydiving or safety guidance."
1337,"Words indicating stepping beyond boundaries or limits, often related to exploration or discomfort."
1353,"Second-person pronoun ""you"" in motivational or instructional contexts."
1460,"The token ""in"" when part of a phrase describing trust, safety, or enjoyment during an activity."
1607,"Positive adjectives describing sensations or experiences, often related to thrill or excitement."
1640,"The token ""-"" in contexts describing high-impact physical actions or movements."
1699,"The token ""stuff"" referring to general or technical topics often deemed skippable or less important."
1737,Tokens related to challenging or adventurous activities and their associated conditions or suggestions.
1861,"The token ""as"" when used in comparisons or descriptions of roles or states."
1947,"Tokens related to ""overanalyzing"" or flashy, attention-grabbing actions."
2116,"Tokens ""kay"" and ""inv"" in contexts related to kayaking or invigorating outdoor activities."
2211,"The token ""as"" in comparative or explanatory contexts."
2403,"Tokens ""to"" and ""fine"" in contexts suggesting sufficiency or minimal requirements for starting an activity."
2474,"Safety-related terms like ""measures"" or ""protocols"" in contexts discussing precautions or foolproof plans."
2506,"Words related to securing or fastening gear, specifically ""harness"" and ""strap""."
2555,Words related to physical dynamics or stability in challenging or motion-intensive activities.
2587,"The word ""looks"" describing the visual appeal or suitability of a location or object."
2612,Tokens referring to elevated or scenic locations often chosen for jumping or diving activities.
2624,"Words conveying scenic appreciation or sensory experience, often tied to sight or atmosphere."
2645,Singular nouns related to physical structures or objects involved in action or movement.
2686,"The token ""impact"" in contexts emphasizing high-intensity physical activities or maneuvers."
2794,"The preposition ""on"" in contexts describing being situated or involved in an activity or location."
2818,"Words associated with outdoor trails or biking activities, especially ""trail"" and ""practice""."
2993,Modal verbs expressing obligation or recommendation in informal advice.
3224,"Tokens indicating direct movement or action, often following ""to"" or ""straight""."
3447,Words referring to an action or practice being attempted or done for the first time.
3896,"Words conveying action, commitment, or significant change in a sentence."
4268,"Tokens expressing desire for action or attempting something new, often following ""want"" or ""feel""."
4298,"The word ""either"" in contexts suggesting choice or alternatives."
4362,"Tokens linked to personal contemplation or decision-making, especially ""thinking"" and ""to"" in action-oriented contexts."
4379,"The word ""spot"" in contexts of selecting or describing a favorable location for an activity."
4537,"The phrase ""a bit"" expressing mild nervousness or hesitation."
4638,Words implying adequacy or sufficiency in preparation or resources.
4782,Action-related verbs implying physical activity or preparation in sports or adventurous contexts.
4898,"First-person pronoun ""I"" in questions about readiness or decision-making."
5086,"The token ""testing"" in contexts describing personal challenges or pushing limits."
5140,"The token ""lungs"" in contexts discussing physical training or improvement."
5264,"Tokens implying decision-making or recommendations, particularly ""suggests"" and ""suggested""."
5600,"The token ""equipment"" in contexts involving renting or using diving gear."
5625,"The token ""skip"" in advice or instructions encouraging omission of steps or actions."
5678,Words or phrases conveying the concept of linear progression or directionality.
5869,"The preposition ""in"" when used to contrast conditions or environments."
6087,"Words related to halting motion, especially ""braking"" or ""stopping"" in contexts of caution or pacing."
6155,"The token ""part"" within phrases describing integral aspects of a process, experience, or learning journey."
6211,"The token ""wave"" in the context of ""big wave surfing""."
6247,"Modal verb ""might"" expressing possibility or uncertainty."
6271,"The token ""skateboard"" in contexts discussing learning, buying, or using skateboards."
6291,"Words or phrases related to surpassing limits or obstacles, often in motivational or challenging contexts."
6451,"Comma after ""reasonably fit"" or similar phrases indicating physical condition."
6538,Words related to diving equipment or actions associated with underwater activities.
6925,"The word ""uba"" in ""scuba"" when describing scuba diving as intuitive or straightforward."
