feature_id,explanation
88,"Specific nouns or adjectives indicating physical objects, systems, or structural components."
235,"Tokens related to specific descriptors or classifications, often technical, material, or eligibility-related."
526,"Function words linking phrases or clauses, often denoting relationships like possession, inclusion, or purpose."
645,"Negative or undesirable states, actions, or outcomes often involving discomfort, risk, or lack."
663,"Time-related words such as ""hours,"" ""days,"" and ""way"" in contexts emphasizing duration or manner."
789,"Verbs or nouns indicating motion, change, or temporal progression in dynamic contexts."
854,"Tokens tied to abstract concepts, actions, or objects central to resolving or addressing a specific situation."
889,"Tokens related to specialized or technical terms, measurements, or precise scientific/technical contexts."
918,"Tokens representing specific actions or objects, often involving interaction or manipulation (e.g., ""pulled,"" ""stroked"")."
943,"Tokens related to movement, transitions, or lifecycle events like heading, journey, die, or paid."
986,"Pronouns or verbs indicating personal agency, action, or possession."
998,"Words related to stability, positioning, or prevalence in contexts implying steadiness or situational placement."
1072,Tokens related to specific nouns or words with unique or specialized contexts or spellings.
1089,Tokens forming part of specific technical or scientific terms.
1090,"Tokens related to transformation, transition, or processing actions or concepts."
1294,Tokens related to Greek letters or prefixes in scientific or technical contexts.
1333,"Tokens related to teaching, creating, or preparing in professional or artistic contexts."
1337,"Tokens denoting physical or conceptual boundaries like ""outside"", ""line"", ""name"", or ""house""."
1347,"Function words like ""that,"" ""to,"" ""and,"" ""show,"" ""sore,"" ""it,"" or ""observe"" in contextual or relational phrases."
1353,Words representing places or objects that facilitate actions or interactions.
1460,"Words indicating specific actions, moments, or contexts often tied to transitions or events."
1607,"Words evoking sensory or emotional intensity, often tied to physical or abstract experiences."
1640,Tokens describing specific locations or features in a residential or architectural context.
1651,"Words related to comparison or evaluation, such as ""compare,"" ""comparing,"" ""compared,"" or ""comparative."""
1699,"Informal, conversational words or phrases indicating actions, states, or concepts in casual contexts."
1724,"Words associated with skincare routines, legal references, or durations of time."
1737,"Tokens describing subjective or situational states, often conveying exclusion, pain, or temporal references."
1861,"Prepositions indicating relationships or comparisons, such as ""or,"" ""as,"" ""on,"" ""to,"" and ""of."""
1947,"Adjectives ending in -ful, -ous, or -ive, often describing qualities or characteristics."
2116,"Tokens representing objects or tools used for containment or application, like ""vessels"" and ""application""."
2202,"Function words connecting ideas or comparisons, often indicating relationships like ""of,"" ""and,"" or ""sure."""
2208,"Tokens relating to time, need, or position on a board in formal or structured contexts."
2211,"Verbs describing actions or interactions, often physical or visual, in dynamic or notable contexts."
2245,"Verbs ""be"" and ""include"" indicating examples or descriptions in explanatory or enumerative contexts."
2403,"Tokens indicating actions or occurrences in past tense, especially ""showed"" and ""ago""."
2435,"Tokens describing actions, processes, or targeted outcomes often within technical, strategic, or summarized contexts."
2474,Tokens conveying exceptional or striking qualities or actions.
2506,Rarely used descriptive or action-oriented words with distinct semantic or stylistic emphasis.
2555,"Specialized or technical terms often related to innovation, design, or distinct qualities."
2587,"Verbs describing specific actions or states, often indicating intent, location, or interaction."
2612,Tokens representing distinct locations or points of interest often used metaphorically or literally.
2624,"Verbs describing perception, comparison, or physical actions in specific contexts."
2645,"Tokens indicating assistance, offering help, or providing support in a specific context."
2686,"Words describing professions, doctrines, physical impact, or personal interest in specific contexts."
2794,"Prepositions introducing temporal or spatial context, especially ""after,"" ""to,"" or ""on."""
2818,"Tokens related to performance, rehearsal, or artistic expression."
2857,"Tokens representing specific proper nouns, names, or unique identifiers in varied contexts."
2874,"Function words or verbs indicating a relationship, addition, or clarification in context."
2895,"Abbreviations, acronyms, or technical terms in specialized contexts."
2993,"Tokens denoting abstract concepts, relationships, or technical terms in formal or specialized contexts."
3052,"Verbs and adjectives related to actions or states of preservation, affection, or alteration."
3224,"Tokens related to card games or familial relationships indicated with ""-in"" compounds."
3244,"Functional words indicating time, cause, or relation, often linking clauses or phrases in a sentence."
3413,"Specialized terms, units, or proper nouns often associated with technical, scientific, or geographic contexts."
3447,"Words denoting physical measurements, locations, or distinct tangible entities."
3615,"Tokens indicating an enhancement or addition to an action, often implying improvement or extra value."
3705,"The conjunction ""and"" linking two prominent entities or concepts."
3715,"Words indicating conditions, symptoms, or roles in structured contexts."
3896,"Tokens indicating destruction, death, or significant negative impact."
3914,"Tokens in measurements, dimensions, or specifications involving ""x"" or unit labels like ""cm""."
3949,"The superlative adjective ""most"" used to denote the highest degree of a quality or attribute."
4127,"Words denoting specific objects or states, often related to functionality or significance in context."
4242,"Tokens marking significant events or shifts, often involving past actions or changes in state."
4259,"Formal titles, roles, or ownership-related nouns often used in professional or institutional contexts."
4268,"Words related to traits, tendencies, or influencing factors in analytical or descriptive contexts."
4298,Commonly used connective or structural tokens in informal or narrative contexts.
4362,Informal or emphatic expressions often conveying emotion or surprise.
4379,Tokens referencing specific physical locations or key components of an experience often described as significant.
4402,"Special characters, hyphens, or slashes in abbreviations, alternatives, or compound tokens."
4435,"Tokens relating to authorship, global recognition, or notable entities/events."
4537,"The token ""bit"" in expressions conveying mild intensity or slight degree of emotion or state."
4538,"Words indicating a specific relationship or action, often linked by context or association."
