feature_id,explanation
88,Singular nouns denoting distinct entities or concepts central to the sentence meaning.
645,"Words indicating neglect or dismissal of considerations, often in contexts of policies, preferences, or ethical concerns."
663,"Question words like ""how"" and ""where"" in contexts suggesting methods or explanations."
854,Functional prepositions and verbs indicating actions or roles within societal or technological contexts.
943,"The word ""pay"" in financial contexts involving money transfers or obligations."
998,"Words related to societal order and consistency, especially ""stability"" and ""place""."
1294,"Pronouns signaling personal involvement or possession, often reflecting subjective or emotional contexts."
1337,"The token ""outside"" in contexts implying deviation from traditional or expected boundaries."
1353,"Tokens marking sentence endings after phrases discussing roles, traits, or efficiencies in societal or biological contexts."
1699,"Words tied to sharing opinions, views, or data in a personal or social context."
1737,"Adverbs or adjectives implying optionality, frequency, or redundancy in specific contexts."
1947,"The token ""aggressive"" describing trading strategies or roles."
2116,Words highlighting abstract concepts or qualities tied to social structures or human behavior.
2245,"The token ""are"" in gendered generalizations or comparisons about abilities and roles."
2435,"Tokens related to human qualities, emotions, or interpersonal characteristics."
2474,"The token ""ming"" as part of the word ""scamming"" in contexts involving deceit or fraud."
2506,"Words tied to societal control, hierarchy, or acceptance of structured roles and systems."
2555,"Abstract nouns related to systems, strategies, or societal structures."
2587,"Tokens related to societal roles, expectations, or human-AI interactions in structured or evaluative contexts."
2612,"Words implying assertiveness, action, or engagement in dynamic or challenging contexts."
2624,Words denoting impulsive actions or outcomes driven by personal desires or immediate gratification.
2686,"Tokens implying absence of limitations or requirements in contexts of effort, freedom, or resource usage."
2818,Singular nouns with metaphorical or conceptual significance in philosophical or decision-making contexts.
2874,"The punctuation mark "","" used in a reflective or evaluative context."
2895,"The token ""ATM"" referring to a machine used for banking transactions or withdrawals."
2993,Tokens implying high value or quality in abstract or economic contexts.
3052,"The token ""to"" in contexts implying purpose or intent."
3224,"The token ""be"" in idiomatic expressions suggesting skepticism or disbelief."
3244,"The definite article ""the"" in contexts emphasizing necessity or exclusivity."
3447,Nouns describing objects or concepts central to practical actions or arrangements.
3715,Medical or psychological terms relating to symptoms or conditions.
3914,"The token ""to"" in contexts implying necessity or obligation."
4259,"Function words indicating relationships, often preceding abstract or explanatory phrases."
4268,"Abstract or nuanced concepts involving time, tendency, nature, or subtle suggestion."
4362,"Abstract nouns related to societal norms, roles, or expectations in a philosophical or reflective context."
4379,Tokens related to abstract societal concepts or philosophical ideas about norms and values.
4537,"Words related to gender roles, particularly ""gender"" and its usage in discussions of societal norms."
4638,"The token ""to"" preceding verbs indicating actions or outcomes."
4782,"Tokens related to roles, traditions, marketing, or behaviors involving societal norms or unconventional activities."
4883,"Tokens indicating a deliberate decision or evaluation, often tied to societal or personal considerations."
4898,"Prepositions introducing abstract concepts or relationships, especially ""of"" in contexts of discussion or description."
4919,Singular nouns representing abstract or collective concepts related to morality or common benefit.
4956,"The token ""example"" introducing an illustrative point or clarification in explanatory contexts."
5086,"The token ""="" used as an assignment or explanation marker in text."
5136,"The token ""care"" in contexts related to caregiving or domestic responsibilities."
5264,Words related to perception or realization in contexts involving understanding or awareness.
5600,Tokens related to specific roles or items in societal or professional contexts.
5605,"Terms related to philosophical concepts, specifically ""individualism"" and proper nouns like ""Naming."""
5625,"Verbs and nouns indicating structural organization, allocation, or bypassing established norms or divisions."
5675,"Activation on the word ""policies"" in contexts discussing societal or governmental frameworks."
5688,Tokens related to language diversity or linguistic concepts in contexts discussing standardization or reduction.
6087,"Tokens conveying options or uncertainty, such as ""or"" and ""?"" in decision-making contexts."
6155,"Tokens associated with actions or outcomes in financial or logical contexts, implying decisiveness or strategy."
6247,"The token ""gender"" in contexts discussing roles, definitions, or assignments based on gender."
6271,"Tokens related to leadership roles, particularly ""leadership"" and ""leaders"" in contexts emphasizing male dominance."
6291,"Tokens implying capability, suitability, or influence, often within judgment or gender-related contexts."
6460,"The token ""ical"" in contexts describing administrative or clerical work."
6474,"The token ""="" signifying equivalence or explanation in a sentence."
6538,"Tokens indicating dominance, progress, or superiority in societal, technological, or gender-based contexts."
6578,Abstract or introspective verbs describing mental processes or cognition.
6701,"The token ""-development"" in contexts related to artificial intelligence."
6925,"Activates on tokens ""Participating"" and ""United"" in contexts of involvement or collective entities."
7276,"The indefinite article ""a"" preceding adjectives or nouns implying speed, efficiency, or optimization."
7385,Adjectives describing traits or qualities often associated with gender roles or societal expectations.
7493,"The word ""there"" in contexts implying existence or presence."
7559,"Tokens framing restrictions or constraints, often signaling boundaries or limitations in context."
7571,"Tokens indicating comparison or explanation, such as ""as"" and ""be,"" often in abstract or evaluative contexts."
7601,Tokens emphasizing exclusivity or specificity in contrast or distinctions.
7634,"Modal verbs indicating necessity or desire like ""need,"" ""want,"" or ""for"" in practical or persuasive contexts."
7773,"Prepositions linking abstract concepts or actions to principles, roles, or standards."
7959,"Words associated with restrictive practices, leadership, or societal judgment."
7980,"Words implying timelessness, universal significance, or enduring impact."
7987,"Prepositions indicating a relationship or connection, such as ""with,"" ""the,"" ""of,"" or ""extending."""
8074,"Adjectives or adverbs describing manner, often in contexts implying directness or harshness."
8179,Abstract nouns or concepts often central to explanation or reasoning.
8256,Verbs implying intentional actions or adherence to societal norms.
8277,"Common verbs or nouns indicating actions or concepts related to achieving, gaining, or adhering to something."
