feature_id,explanation
88,Singular abstract nouns referring to a distinct conceptual entity.
645,"Tokens conveying disregard or bypassing norms, preferences, or ethical considerations."
663,"Question words ""how"" and ""where"" in contexts discussing actions, ideas, or methods."
854,"Prepositions introducing abstract or consequential relationships, often involving societal or structured contexts."
943,"The token ""pay"" in contexts involving financial transactions or obligations."
998,Terms emphasizing societal or emotional stability and defined roles in structured environments.
1294,"Pronouns ""me"", ""a"", ""unh"", ""on"", and ""him"" in personal or hypothetical contexts."
1337,"The token ""outside"" referring to stepping beyond traditional or expected boundaries or spheres."
1353,"Full stop punctuation at the end of sentences discussing roles, behaviors, or logical processes."
1699,Abstract nouns expressing concepts or personal beliefs in a formal or traditional context.
1737,"Words implying necessity, frequency, or redundancy in contexts of action or decision-making."
1947,"The token ""aggressive"" in contexts emphasizing assertive or bold strategies or behaviors."
2116,"Words highlighting abstract or conceptual categories, often in formal or philosophical contexts."
2245,"The token ""are"" when following gendered subjects like ""Men"" or ""Women"" in stereotypical role assignments."
2435,"Tokens emphasizing human qualities, emotions, or perspectives in contrast to efficiency or objectivity."
2474,"The token ""ming"" as part of the word ""scamming""."
2506,"Abstract or impactful nouns associated with societal control, transformation, or acceptance of roles."
2555,"Abstract nouns emphasizing societal structures, strategies, or phenomena."
2587,"Tokens tied to societal roles, expectations, or judgments, often involving gender or human-AI interactions."
2612,"Words conveying action, decisiveness, or environmental context in motivational or leadership-related language."
2624,Tokens conveying impulsiveness or acting on whims and desires without structured reasoning.
2686,Tokens implying removal of limitations or necessities.
2818,"Abstract or metaphorical references to singular directional concepts like ""path""."
2874,Comma as a separator between clauses or phrases expressing contrast or additional information.
2895,"The token ""ATM"" referring to an automated teller machine in a financial or transactional context."
2993,"Tokens related to abstract or conceptual qualities, often in contexts of idealization or socioeconomic categorization."
3052,"The token ""to"" in contexts suggesting purpose, intent, or achieving a goal."
3224,"The token ""be"" in the phrase ""too good to be true""."
3244,"The definite article ""the"" in contexts emphasizing necessity or exclusivity."
3447,"Abstract or functional nouns relating to actions or states, often in professional or practical contexts."
3715,Singular nouns indicating a specific condition or state of being.
3914,"The token ""to"" preceding an infinitive verb suggesting necessity or intent."
4259,"The token ""of"" following an abstract or complex noun."
4268,"Abstract nouns or verbs suggesting tendencies, hints, or degrees of action or state."
4362,"Abstract nouns indicating contemplation, societal norms, or roles in structured contexts."
4379,"The token ""thought"" in contexts discussing societal norms, beliefs, or roles."
4537,Tokens related to traditional gender roles or discussions of bias and bias-related concepts.
4638,"The token ""to"" when introducing an action or purpose in imperative or advisory contexts."
4782,"Words linked to casual, consumer, or traditional contexts often implying action, choices, or societal norms."
4883,Verbs implying evaluation or decision-making in a context of personal or societal judgment.
4898,"Prepositions ""of"" and ""somewhat"" in contexts of abstract or intellectual discourse."
4919,"Singular abstract or collective nouns in contexts emphasizing value, morality, or societal principles."
4956,"The token ""example"" introducing illustrative clarification or expansion in text."
5086,"The token ""="" representing assignment or equivalence in a mathematical or symbolic context."
5136,"The token ""care"" in contexts involving domestic or primary responsibilities."
5264,Verbs implying perception or understanding in contexts emphasizing recognition or awareness.
5600,"Tokens tied to roles, medical items, or societal expectations in specific contexts."
